"Game","# Owned","# Unique","# Cards","Badge Lvl","Set Price","Price Diff","Card Avg","Booster Avg","Booster %","Emote Avg","BG Avg","Avg Qty","Discount","Added","AppId"
"Life of Rome","0","0","5","0","0.00","0.00","0.00","N/A","0.0","0.00","0.00","0","0.00","2015-12-23","381620"
"Lifestream - A Haunting Text Adventure","0","0","9","0","4.61","4.61","0.49","N/A","0.0","0.27","6.32","13","2.14","2016-09-22","527820"
"LifeZ - Survival","0","0","6","0","9.28","9.28","1.54","1.21","21.4","4.72","1.26","15","4.01","2020-07-06","809210"
"Lift It","0","0","10","0","3.90","3.90","0.38","0.16","57.1","0.16","0.16","47","1.65","2015-10-27","402220"
"Liftoff","0","0","5","0","3.02","3.02","0.60","0.66","-9.1","4.83","0.38","59","1.59","2016-04-20","410340"
"Light","0","0","6","0","0.00","0.00","0.00","0.00","","0.00","0.00","0","0.00","2014-07-15","271730"
"Light Apprentice","0","0","7","0","2.25","2.25","0.33","0.27","16.7","0.82","2.42","5","1.15","2017-04-18","569570"
"Light Bound","0","0","5","0","4.94","4.94","0.99","1.37","-38.9","0.71","6.15","41","2.58","2015-04-24","335560"
"Light Fairytale Episode 1","0","0","5","0","6.81","6.81","1.37","3.68","-168.0","2.80","8.51","30","3.57","2020-06-30","539330"
"Light Fall","0","0","9","0","3.90","3.90","0.44","2.31","-425.0","0.33","3.95","27","1.92","2018-04-25","416830"
"Light Repair Team #4","0","0","6","0","4.12","4.12","0.66","1.81","-175.0","2.53","0.66","15","1.70","2016-04-14","444530"
"Light Tracer","0","0","6","0","17.30","17.30","2.91","2.14","26.4","2.91","14.72","28","7.58","2018-01-30","680400"
"Lightbender","0","0","9","0","15.27","15.27","1.70","2.03","-19.4","8.07","2.69","16","7.41","2016-01-03","415990"
"Lightmatter","0","0","5","0","2.36","2.36","0.49","1.26","-155.6","0.71","0.33","53","1.26","2020-01-16","994140"
"LIGHTNING RETURNS: FINAL FANTASY XIII","0","0","6","0","4.17","4.17","0.71","1.21","-69.2","0.38","0.60","90","1.87","2015-12-10","345350"
"Like a Dragon Gaiden: The Man Who Erased His Name","0","0","13","0","4.83","4.83","0.38","0.38","0.0","0.49","8.40","422","2.36","2023-11-09","2375550"
"Like a Dragon: Infinite Wealth","0","0","10","0","3.68","3.68","0.38","0.49","-28.6","10.93","0.71","1008","1.65","2024-01-26","2072450"
"Like a Dragon: Ishin!","0","0","10","0","3.24","3.24","0.33","0.27","16.7","0.38","0.49","537","1.43","2023-02-18","1805480"
"Like a Dragon: Pirate Yakuza in Hawaii","0","0","8","0","4.94","4.94","0.60","0.88","-45.5","0.55","1.76","410","2.09","2025-02-20","3061810"
"Like Clay","0","0","5","0","3.24","3.24","0.66","11.04","-1,575.0","0.27","19.06","13","1.70","2017-03-14","604000"
"Lil Big Invasion","0","0","8","0","2.97","2.97","0.38","0.16","57.1","0.16","0.16","22","1.32","2016-08-07","491240"
"Lil Tanks","0","0","6","0","12.19","12.19","2.03","N/A","0.0","140.54","264.93","17","5.33","2017-04-06","495820"
"Lil' Guardsman","0","0","10","0","3.57","3.57","0.38","0.44","-14.3","5.88","13.13","74","1.65","2024-01-24","1924360"
"Lili: Child of Geos","0","0","8","0","3.46","3.46","0.44","1.81","-312.5","13.35","371.42","16","1.54","2014-05-09","266490"
"Lilipalace","0","0","12","0","5.93","5.93","0.49","0.71","-44.4","2.86","2.75","21","2.14","2023-11-23","867120"
"Lilitales","0","0","12","0","3.68","3.68","0.33","1.81","-450.0","2.53","1.92","62","1.70","2023-11-23","1141100"
"Lilly and Sasha: Curse of the Immortals","0","0","6","1","0.00","0.00","0.00","0.00","","0.00","0.00","0","0.00","2015-05-03","364270"
"Lilly and Sasha: Guardian Angels","0","0","5","0","0.00","0.00","0.00","0.00","","0.00","0.00","0","0.00","2015-07-07","383520"
"Lilly and Sasha: Nexus of Souls","0","0","5","1","3.79","3.79","0.77","1.43","-85.7","0.22","1.04","19","1.32","2015-05-30","370040"
"Lilly Looking Through","0","0","6","0","2.53","2.53","0.44","0.22","50.0","1.04","0.55","25","1.15","2013-11-01","250030"
"Lily of the Valley","0","0","7","0","8.24","8.24","1.15","1.21","-4.8","3.24","0.93","24","4.01","2017-05-05","628460"
"Lily's Day Off","0","0","6","0","5.05","5.05","0.82","0.93","-13.3","3.35","6.37","25","2.14","2017-01-07","575650"
"Lily's Handmaid","0","0","7","0","9.89","9.89","1.43","4.56","-219.2","2.36","1.15","71","3.73","2021-09-20","1136910"
"Lilycle Rainbow Stage!!!","0","0","12","0","5.00","5.00","0.44","0.99","-125.0","1.98","0.93","36","2.31","2020-05-15","978870"
"Lily´s Epic Quest","0","0","6","0","5.11","5.11","0.82","1.15","-40.0","3.13","4.61","9","2.14","2016-08-17","507270"
"LIMBO","0","0","6","0","2.97","2.97","0.49","0.27","44.4","0.16","0.55","655","1.26","2021-04-02","48000"
"Line of Sight","0","0","6","0","4.06","4.06","0.66","0.77","-16.7","1.10","1.70","15","1.70","2018-07-09","436520"
"Linea, the Game","0","0","5","0","2.80","2.80","0.55","0.33","40.0","0.22","0.16","38","1.43","2016-01-04","428900"
"Lineage II","0","0","9","0","6.43","6.43","0.71","0.93","-30.8","0.77","6.10","79","3.13","2015-11-12","373700"
"LineDash","0","0","5","0","2.09","2.09","0.44","0.38","12.5","0.27","0.44","94","1.15","2016-07-11","497670"
"Lines","0","0","6","0","2.97","2.97","0.49","0.44","11.1","12.52","1.54","12","1.26","2017-05-19","458540"
"LineWay","0","0","5","0","2.80","2.80","0.55","0.49","10.0","0.66","0.16","33","1.43","2021-10-28","661430"
"LingerieS / ランジェリーズ","0","0","5","0","5.22","5.22","1.04","1.43","-36.8","8.79","2.86","22","2.75","2025-01-11","2890890"
"Lingering Fragrance","0","0","7","0","3.40","3.40","0.49","1.32","-166.7","2.25","3.24","19","1.70","2018-10-06","880400"
"Lingua Fleur: Lily","0","0","6","0","5.49","5.49","0.93","N/A","0.0","24.88","0.82","35","2.42","2021-03-16","986280"
"Link","0","0","6","0","15.65","15.65","2.64","2.47","6.2","8.95","1.81","17","6.86","2016-04-23","454030"
"Link: The Unleashed Nexus","0","0","6","0","5.60","5.60","0.93","N/A","0.0","5.82","4.61","13","2.42","2015-08-21","388720"
"Linked","0","0","5","0","1.98","1.98","0.38","0.27","28.6","0.16","0.16","72","0.66","2017-02-22","596590"
"Lion Quest","0","0","9","0","3.08","3.08","0.33","0.16","50.0","8.29","0.16","22","1.43","2016-07-12","370130"
"Lionessy Story","0","0","12","0","3.57","3.57","0.27","0.16","40.0","0.16","0.27","79","1.43","2017-06-08","448690"
"Lionheart","0","0","10","0","9.45","9.45","0.93","0.71","23.5","7.03","14.99","34","4.06","2017-07-31","494160"
"Liquid Pinball","0","0","5","0","5.93","5.93","1.21","0.60","50.0","7.03","0.22","19","3.13","2016-11-30","562050"
"LISA","0","0","15","0","3.90","3.90","0.27","0.60","-120.0","3.68","0.33","185","1.92","2014-12-15","335670"
"Lisa and the Grimoire","0","0","7","0","15.32","15.32","2.20","1.70","22.5","9.83","2.53","14","5.71","2021-03-04","1342050"
"LISTEN UP! WE TRIED TO MAKE “THOSE GAMES” EVEN MORE EXTREME! SOME THINGS HAVE TO BE LEARNED THE HARD WAY!","0","0","6","0","8.35","8.35","1.37","2.03","-48.0","1.92","1.70","25","3.57","2025-04-24","3246190"
"LIT","0","0","6","0","7.19","7.19","1.21","2.25","-86.4","0.88","5.66","25","3.13","2017-02-21","582960"
"Lithium: Inmate 39","0","0","5","0","42.40","42.40","8.46","3.57","57.8","4.67","139.05","3","14.72","2016-10-26","463470"
"Little Big Adventure – Twinsen’s Quest","0","0","11","0","10.54","10.54","0.93","N/A","0.0","13.73","0.55","21","4.89","2024-11-16","2318070"
"Little Big Workshop","0","0","8","0","2.47","2.47","0.33","0.22","33.3","1.92","13.73","179","1.15","2019-10-09","574720"
"Little Briar Rose","0","0","6","0","3.08","3.08","0.49","0.99","-100.0","1.43","5.05","37","1.26","2016-12-03","555290"
"Little Busters! English Edition","0","0","13","0","7.08","7.08","0.55","0.71","-30.0","9.56","2.25","96","2.86","2017-12-11","635940"
"Little Cells","0","0","5","0","3.19","3.19","0.66","0.38","41.7","1.70","0.16","14","1.70","2015-06-06","352210"
"Little Goody Two Shoes","0","0","8","0","6.43","6.43","0.82","0.77","6.7","3.62","0.99","59","2.86","2023-10-31","1812370"
"Little Inferno","0","0","5","0","2.36","2.36","0.49","0.33","33.3","0.22","0.22","172","1.26","2020-04-05","221260"
"Little Jack's Adventures","0","0","5","5","2.14","2.14","0.44","0.33","25.0","0.16","0.16","123","1.15","2017-02-07","571870"
"Little King's Story","0","0","8","0","6.21","6.21","0.77","N/A","0.0","1.70","23.23","9","2.69","2016-08-08","390310"
"Little Kite","0","0","7","0","5.38","5.38","0.77","0.27","64.3","0.44","0.16","12","2.69","2017-09-15","610120"
"Little Misfortune","0","0","6","0","6.21","6.21","1.04","0.71","31.6","1.32","0.38","169","2.75","2019-09-25","714120"
"Little Mouse's Encyclopedia","0","0","5","0","3.84","3.84","0.77","1.10","-42.9","1.92","4.34","29","2.03","2019-02-28","424200"
"Little Nightmares","0","0","12","0","4.34","4.34","0.38","0.22","42.9","0.27","0.27","845","2.03","2017-05-02","424840"
"Little Nightmares II","0","0","16","0","4.67","4.67","0.27","0.22","20.0","0.33","0.33","735","1.92","2021-02-12","860510"
"Little Noah: Scion of Paradise","0","0","6","0","2.58","2.58","0.44","N/A","0.0","0.66","1.15","46","1.15","2022-06-29","1883260"
"Little Racers STREET","0","0","12","0","3.90","3.90","0.33","0.22","33.3","0.49","0.16","55","1.70","2014-02-06","262690"
"Little Red Lie","0","0","6","0","3.40","3.40","0.55","1.21","-120.0","2.20","20.10","7","1.43","2017-07-09","510520"
"Little Triangle","0","0","5","0","2.64","2.64","0.55","0.33","40.0","3.95","0.60","33","1.43","2017-08-29","575050"
"Little Walker","0","0","5","5","12.80","12.80","2.58","1.54","40.4","0.55","15.98","20","6.76","2016-08-18","448500"
"Little Witch Academia: Chamber of Time","0","0","8","0","4.50","4.50","0.55","N/A","0.0","0.44","0.77","72","1.92","2018-05-17","710470"
"Little Witch Nobeta","0","0","9","0","4.23","4.23","0.49","0.77","-55.6","1.04","0.82","109","1.70","2023-01-18","1049890"
"Littlewitch Romanesque: Editio Regia","0","0","15","0","5.99","5.99","0.38","0.71","-85.7","5.88","6.86","30","2.69","2015-04-03","349300"
"Littlewood","0","0","15","0","3.73","3.73","0.27","0.22","20.0","0.27","0.44","190","1.92","2020-07-08","894940"
"LIVE A LIVE","0","0","9","0","4.17","4.17","0.44","0.66","-50.0","1.48","1.26","46","1.92","2023-04-28","2014380"
"Live Empire","0","0","6","0","3.30","3.30","0.55","0.66","-20.0","56.68","0.33","18","1.43","2021-02-08","1325380"
"Live Empire 2","0","0","12","0","6.76","6.76","0.55","N/A","0.0","3.68","11.75","21","2.86","2022-01-05","1597280"
"Live Wallpaper Master","0","0","5","0","9.56","9.56","1.92","0.71","62.9","0.33","2.58","18","3.35","2017-12-08","597840"
"Livelock","0","0","8","0","2.69","2.69","0.33","0.22","33.3","0.27","0.22","49","1.15","2017-05-18","251230"
"Liveza: Death of the Earth","0","0","5","2","2.09","2.09","0.44","0.27","37.5","0.16","0.16","65","1.15","2016-05-01","463100"
"Living With Sister: Monochrome Fantasy","0","0","5","0","4.50","4.50","0.88","1.43","-62.5","0.38","0.44","215","2.31","2024-06-25","2429860"
"Living with Temptation 1 - REDUX","0","0","10","0","4.61","4.61","0.44","0.71","-62.5","22.24","0.44","35","1.92","2023-11-14","1550600"
"Living with temptation: American sunset","0","0","7","0","5.93","5.93","0.82","1.15","-40.0","80.62","10.87","43","2.86","2025-02-21","2834110"
"Liz ~The Tower and the Grimoire~","0","0","5","0","2.75","2.75","0.55","0.44","20.0","0.88","0.38","24","1.43","2023-12-22","1078330"
"LIZ: Before the Plague","0","0","6","0","17.85","17.85","2.97","N/A","0.0","5.44","1.54","11","7.74","2021-10-30","628940"
"Lizard","0","0","6","0","7.25","7.25","1.21","1.81","-50.0","18.34","72.88","21","3.13","2018-02-22","400280"
"Lizard Survivors: Battle for Hyperborea","0","0","12","0","4.12","4.12","0.33","0.27","16.7","1.37","0.27","91","1.70","2024-06-04","2621150"
"LIZARDS MUST DIE","0","0","5","0","3.13","3.13","0.60","0.44","27.3","0.16","0.16","287","1.59","2023-11-08","2532550"
"LIZARDS MUST DIE 2","0","0","8","0","4.39","4.39","0.55","0.44","20.0","0.49","0.27","44","1.92","2025-05-05","3107800"
"Loadout","0","0","5","0","0.00","0.00","0.00","0.00","","0.00","0.00","0","0.00","2014-01-31","208090"
"Loca-Love My Cute Roommate","0","0","6","0","4.01","4.01","0.66","1.70","-158.3","0.99","0.71","65","1.70","2019-03-11","916060"
"Lock's Quest","0","0","8","0","3.62","3.62","0.44","0.71","-62.5","0.27","0.33","9","1.54","2017-03-19","490080"
